Category,Business Name,Contact #,Email,Address,Website
Property Manager,HomeWorks,574-233-3302,rkain@homeworksinvestments.com,"1920 Ridgedale Rd., South Bend, IN 46614",
Property Manager,Specialized Property Management,404-596-5726,sylvia@specialized247.com,"1201 Peachtree St, 400 Colony Sq, Ste 200, Atlanta, GA 30361",
Property Manager,Atlantic Property Management,678-853-7666,leads@atlanticpropertymgt.com,"105 Nobel Court, Alpharetta, GA 30005",
Property Manager,Excalibur Homes,678-825-0430,email@gmail.com,"2855 Marconi Dr. Ste 310, Alpharetta, GA 30005",
Property Manager,Renshaw Property Management,(901) 820-4367 x1005,bob@renshawpropertymanagement.com,"5865 Ridgeway Center Parkway, Suite 101, Memphis, TN 38120",
Property Manager,"Reedy and Company Realtors, LLC",(901) 800-6693,mark@jameswachob.com,"4701 Sumner Ave., Memphis, TN 38122",
Property Manager,HomeRiver Group,208-377-3227,ejosephson@homeriver.com,"110 NW Barry Rd. Suite 205, Kansas City, MO 64155",
Property Manager,Home Encounter,(954) 379-8546,david.barker@homeencounter.com,"4101 Ravenswood Rd, Suite 320, Dania Beach, FL 33312",
Property Manager,Kanga,(561) 803-7779,email@gmail.com,"6917 Vista Parkway, Suite 15, West Palm Beach, FL33411",
Property Manager,Renters Warehouse,786-416-6086,email@gmail.com,"3905 NW 107th Ave #304, Doral, FL 33178",
Real Estate Agent,Nicholas A BICKEL,(574) 285-4153,email@gmail.com,"54500 N. Ironwood Road, South Bend, IN 46635",http://www.weichert.com/search/agents/AgentProfile.aspx?site=wdc&agent=E3233
Real Estate Agent,Trudy Thornburg,(574) 244-9325,email@gmail.com,"3010 Hickory Rd, Mishawaka, IN 46545",www.homesbythebend.com
Real Estate Agent,David St. Clair,(574) 914-4037,email@gmail.com,"54500 Ironwood Dr, South Bend, IN 46635",http://www.weichert.com/
Real Estate Agent,Tyler Tapley,(901) 209-4079,email@gmail.com,"6525 Quail Hollow, Memphis, TN 38120",http://www.tylertapley.com/
Real Estate Agent,Kaye Thompson,(901) 531-9091,email@gmail.com,"6423 Summer Gale Drive, Memphis, TN 38134",http://www.firstnationalrealty.com/
Real Estate Agent,Pablo Pereyra,(901) 410-9860,email@gmail.com,"3173 KIrby Whitten, 2nd Floor, Memphis, TN 38134",http://www.casaamerica.com/
Real Estate Agent,Sarah Moore,(678) 498-5738,email@gmail.com,"621 North Ave NE, Suite C50, Atlanta, GA 30308",http://www.annakintown.com/
Real Estate Agent,Jonathan Cordoba,(561) 250-7175,email@gmail.com,"418 Cresta Circle, Palm Beach County, FL 33413",http://jcordoba.kw.com/
Real Estate Agent,Karen Alleyne-Means,(561) 286-8317,email@gmail.com,"2005 Vista Parkway, West Palm Beach, FL 33411",https://karenalleyne-means.kw.com/
